index,value
1,97
2,69
3,37
4,79
5,87
6,91
7,48
8,23
9,68
10,66
11,42
12,47
13,19
14,39
15,39
16,12
17,13
18,79
19,7
20,95
21,20
22,58
23,28
24,20
25,59
26,8
27,28
28,41
29,52
30,54
31,51
32,84
33,58
34,71
35,92
36,67
37,81
38,59
39,13
40,39
41,8
42,67
43,68
44,86
45,79
46,32
47,44
48,70
49,2
50,28
51,10
52,46
53,55
54,71
55,93
56,85
57,3
58,58
59,44
60,92
61,42
62,90
63,94
64,58
65,69
66,18
67,18
68,33
69,97
70,32
71,64
72,55
73,35
74,79
75,74
76,60
77,70
78,84
79,9
80,86
81,4
82,13
83,89
84,65
85,82
86,85
87,96
88,34
89,73
90,49
91,78
92,65
93,38
94,13
95,54
96,34
97,57
98,10
99,38
100,70
101,8
102,92
103,66
104,38
105,4
106,6
107,24
108,20
109,38
110,6
111,42
112,19
113,24
114,27
115,44
116,19
117,20
118,78
119,99
120,77
121,94
122,2
123,30
124,8
125,9
126,27
127,75
128,29
129,31
130,93
131,85
132,59
133,9
134,77
135,65
136,14
137,85
138,77
139,48
140,61
141,99
142,97
143,3
144,9
145,67
146,40
147,16
148,84
149,60
150,36
151,35
152,52
153,60
154,15
155,5
156,84
157,15
158,41
159,21
160,1
161,48
162,41
163,85
164,21
165,85
166,43
167,34
168,25
169,53
170,10
171,1
172,66
173,83
174,20
175,50
176,5
177,81
178,64
179,68
180,33
181,61
182,91
183,77
184,33
185,74
186,65
187,93
188,56
189,27
190,39
191,55
192,93
193,6
194,43
195,27
196,57
197,17
198,87
199,44
200,29
201,74
202,77
203,71
204,16
205,12
206,32
207,91
208,35
209,90
210,28
211,12
212,64
213,29
214,23
215,11
216,41
217,54
218,57
219,83
220,81
221,81
222,26
223,28
224,38
225,7
226,68
227,9
228,40
229,99
230,16
231,98
232,62
233,3
234,76
235,76
236,54
237,21
238,50
239,4
240,32
241,31
242,79
243,71
244,45
245,1
246,91
247,86
248,59
249,60
250,26
251,83
252,4
253,98
254,92
255,93
256,85
257,63
258,52
259,89
260,74
261,34
262,83
263,20
264,28
265,35
266,18
267,16
268,72
269,86
270,48
271,59
272,10
273,24
274,100
275,54
276,53
277,62
278,85
279,11
280,26
281,31
282,4
283,10
284,78
285,29
286,56
287,60
288,77
289,75
290,29
291,98
292,44
293,99
294,8
295,65
296,83
297,57
298,58
299,98
300,58
301,50
302,28
303,17
304,31
305,17
306,16
307,51
308,26
309,34
310,92
311,48
312,35
313,57
314,4
315,95
316,61
317,65
318,47
319,26
320,91
321,27
322,69
323,1
324,81
325,62
326,51
327,92
328,72
329,61
330,84
331,57
332,77
333,99
334,10
335,39
336,30
337,31
338,8
339,51
340,36
341,81
342,50
343,83
344,77
345,81
346,32
347,31
348,43
349,94
350,94
351,18
352,67
353,36
354,3
355,64
356,38
357,20
358,17
359,59
360,82
361,15
362,73
363,99
364,25
365,74
366,64
367,64
368,35
369,6
370,71
371,16
372,99
373,38
374,46
375,30
376,61
377,21
378,68
379,9
380,76
381,20
382,57
383,32
384,8
385,69
386,58
387,37
388,89
389,42
390,40
391,63
392,21
393,66
394,49
395,47
396,68
397,82
398,92
399,42
400,12
401,51
402,58
403,77
404,29
405,21
406,2
407,62
408,26
409,46
410,5
411,45
412,67
413,67
414,62
415,84
416,12
417,99
418,96
419,73
420,80
421,53
422,70
423,21
424,94
425,16
426,13
427,15
428,89
429,63
430,58
431,8
432,14
433,22
434,73
435,42
436,58
437,30
